"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"LCSC";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"C1";"10uF";"10UF-1210-50V-20%";"1210";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"10uF";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C3";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"22uF";
"C4";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"22uF";
"C5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C6";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C7";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"22uF";
"C8";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"10nF";
"C9";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"1.0uF";
"C10";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"1.0uF";
"C11";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C12";"10nF";"10NF-0805-400V-20%";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nF";
"C13";"10nF";"10NF-0805-400V-20%";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"10nF";
"D1";"1A/23V/620mV";"DIODE-SCHOTTKY-BAT20J";"SOD-323";"Schottky diode";"";"";"";"";"";"";"";"";"";"";"DIO-11623";"";"1A/23V/620mV";
"DL";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"F1";"125V/3A";"01550900M125V/3A/SLOW";"01550900M";"Fuse Block 10 A 125V 1 Circuit Cartridge Surface Mount";"";"125v/3A slow blow fuse in smd holder";"";"";"Littelfuse";"0154003.DRTL";"";"";"";"";"";"";"125V/3A";
"FC1_OB";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"FC1_V";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"H1";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"3";"";"";"";
"H2";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"3";"";"";"";
"H3";"MOUNT-HOLE3.3";"MOUNT-HOLE3.3";"3,3";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"3";"";"";"";
"IC1";"ATTINY426-MU";"ATTINY426-MU";"QFN40P300X300X90-21N";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"";"8-bit Microcontrollers - MCU 20MHz, 4KB,VQFN20, Ind 85C, Green";"0.9mm";"";"Microchip";"ATTINY426-MU";"";"579-ATTINY426-MU";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/ATTINY426-MU?qs=pUKx8fyJudAatJqFKBSQfg%3D%3D";"";"";"";"";
"J1";"";"USB_C_2-LAYER_PADS";"USB-C-16P-2LAYER-PADS";"USB Type C 16Pin Connector";"";"";"";"";"";"";"";"";"";"";"CONN-14122";"";"";
"J2";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J3";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J4";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J5";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J6";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J7";"282834-8";"282834-8";"2828348";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 8 Way PCB Terminal Strip";"10.3mm";"";"TE Connectivity";"282834-8";"";"571-282834-8";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-8?qs=A%252Bip%252BNCYi6OmCuLnrGmJlA%3D%3D";"";"";"";"";
"J8";"4DB-P108-04";"4DB-P108-04";"SHDR4W132P0X826_1X4_3467X1270X";"Conn Barrier Strip 4 POS 8.26mm Solder ST Thru-Hole Package";"";"Conn Barrier Strip 4 POS 8.26mm Solder ST Thru-Hole Package";"13.462mm";"";"TE Connectivity";"4DB-P108-04";"";"571-214376676";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/4DB-P108-04?qs=JZD3Rbs9XzlqoR88q1UQbw%3D%3D";"";"";"";"";
"J9";"282834-2";"282834-2";"282834-2_1";"TE Connectivity, Buchanan 2.54mm Pitch, 2 Way PCB Terminal Strip";"";"TE Connectivity, Buchanan 2.54mm Pitch, 2 Way PCB Terminal Strip";"mm";"";"TE Connectivity";"282834-2";"";"571-282834-2";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/282834-2?qs=A%252Bip%252BNCYi6N8cVKuk8xDog%3D%3D";"";"";"";"";
"J10";"1-770166-0";"1-770166-0";"17701660";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"14.25mm";"";"TE Connectivity";"1-770166-0";"";"571-1-770166-0";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/1-770166-0?qs=m8myXnDJXpW%252BZqFFniy0cw%3D%3D";"";"";"";"";
"J11";"1-770166-0";"1-770166-0";"17701660";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"";"2w Vertical pin header Tin TE Connectivity MATE-N-LOK Series, 4.14mm Pitch 2 Way Straight Heavy Duty Power Connector, Solder Termination, 9.5A";"14.25mm";"";"TE Connectivity";"1-770166-0";"";"571-1-770166-0";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/1-770166-0?qs=m8myXnDJXpW%252BZqFFniy0cw%3D%3D";"";"";"";"";
"J13";"FEMALE 2x3";"CONN_03X2FEMALE";"2X3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"CONN-11566";"";"FEMALE 2x3";
"L1";"4.7μH";"4.7μH_SHIELDED_INDUCTORNPIS_LS";"INDUCTOR_4X4MM";"4.7uH Inductor";"";"";"";"";"";"";"";"";"";"";"NDUC-15245";"";"4.7μH";
"Q2";"20V/4.2A/52mΩ/1.4W";"MOSFET_PCH-DMG2305UX-7";"SOT23-3";"P-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"TRANS-14388";"";"20V/4.2A/52mΩ/1.4W";
"R1";"510";"510OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"510";
"R2";"510";"510OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"510";
"R3";"2.2k";"2.2KOHM-0603-1/10W-1%";"0603";"2.2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-08272";"";"2.2k";
"R4";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R5";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R6";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R7";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"R8";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"R10";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R12";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"5.1k";
"R13";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"R14";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"R15";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R16";"5.1k";"5.1KOHM5.1KOHM-0603-1/10W-1%";"0603";"";"";"";"";"";"";"";"";"";"";"";"RES-12083";"";"5.1k";
"R17";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-07871";"";"47k";
"R20";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R21";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R22";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R23";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R24";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R25";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R26";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R27";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R28";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R29";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R30";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R31";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R32";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R33";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R34";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R35";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R36";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R37";"220";"220OHM-0603-1/10W-1%";"0603";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"220";
"R38";"100";"100OHM-0805-1/10W-5%-400V";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";
"R39";"100";"100OHM-0805-1/10W-5%-400V";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";
"R40";"120";"120OHM-0603-1/10W-5%";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"120";
"RV1";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"Varistors ZV 35V 10%";"1.45mm";"";"Bourns";"ZV35K1210251NIR1";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";
"RV2";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"Varistors ZV 35V 10%";"1.45mm";"";"Bourns";"ZV35K1210251NIR1";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";
"RV3";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"Varistors ZV 35V 10%";"1.45mm";"";"Bourns";"ZV35K1210251NIR1";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";
"RV4";"ZV35K1210251NIR1";"ZV35K1210251NIR1";"VARC3225X145N";"Varistors ZV 35V 10%";"";"Varistors ZV 35V 10%";"1.45mm";"";"Bourns";"ZV35K1210251NIR1";"";"652-ZV35K1210251NIR1";"https://www.mouser.co.uk/ProductDetail/Bourns/ZV35K1210251NIR1?qs=GBLSl2AkirutxOaOmtSxyA%3D%3D";"";"";"";"";
"U1";"AP63205WU-7";"AP63205WU-7";"SOIC_05WU-7_DIO";"";"Copyright (C) 2023 Ultra Librarian. All rights reserved.";"";"";"";"";"AP63205WU-7";"Diodes Inc";"";"";"";"";"";"";
"U2";"TJA1055T_3_2Z";"TJA1055T_3_2Z";"SOIC127P600X175-14N";"CAN Interface IC Enhanced fault-tolerant CAN transceiver";"";"CAN Interface IC Enhanced fault-tolerant CAN transceiver";"1.75mm";"";"NXP";"TJA1055T/3/2Z";"";"771-TJA1055T/3/2Z";"https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/TJA1055T-3-2Z?qs=qSfuJ%252Bfl%2Fd73Y%2FIsMw3Ayg%3D%3D";"";"";"";"";
"U3";"MIC5504-3.3YM5-TR";"MIC5504-3.3YM5-TR";"SOT95P280X145-5N";"MICROCHIP - MIC5504-3.3YM5-TR - LDO VOLT REG, 0.3A, 3.3V, SOT-23-5";"";"MICROCHIP - MIC5504-3.3YM5-TR - LDO VOLT REG, 0.3A, 3.3V, SOT-23-5";"1.45mm";"";"Microchip";"MIC5504-3.3YM5-TR";"";"998-MIC5504-3.3YM5TR";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MIC5504-3.3YM5-TR?qs=U6T8BxXiZAUmVQ5Zs217qQ%3D%3D";"";"";"";"";
"U4";"ESP32-S3-WROOM-1U-N16R8";"ESP32-S3-WROOM-1U-N16R8";"ESP32S3WROOM1UN16R8";"WiFi Modules - 802.11 [Engineering Samples] SMD Module, ESP32-S3R8, 8 MB Octal PSRAM Die, 16 MB Quad SPI Flash, IPEX Antenna Connector";"";"WiFi Modules - 802.11 [Engineering Samples] SMD Module, ESP32-S3R8, 8 MB Octal PSRAM Die, 16 MB Quad SPI Flash, IPEX Antenna Connector";"3.35mm";"";"Espressif Systems";"ESP32-S3-WROOM-1U-N16R8";"";"356-ESP32S3WM1UN16R8";"https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-S3-WROOM-1U-N16R8?qs=Li%252BoUPsLEns6V0Pr5KRJtw%3D%3D";"";"";"";"";
"U5";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"";"Omron Electronics";"G3VM-61VY3(TR)";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";
"U6";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"";"Omron Electronics";"G3VM-61VY3(TR)";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";
"U7";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"";"Omron Electronics";"G3VM-61VY3(TR)";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";
"U8";"G3VM-61VY3_TR_";"G3VM-61VY3_TR_";"G3VM61VY3TR";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"";"Solid State Relays - PCB Mount MOSFET Relay SOP4 60V 700mA 1 Form A";"2.5mm";"";"Omron Electronics";"G3VM-61VY3(TR)";"";"653-G3VM-61VY3TR";"https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G3VM-61VY3TR?qs=F5EMLAvA7IDWDr%252BrEjvwmw%3D%3D";"";"";"";"";
"U9";"SP3485CN-L";"SP3485CN-L";"SOIC127P600X175-8N";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"";"Transceiver RS-485 3.3V 10Mbps SOIC8 EXAR SP3485CN-L, Line Transceiver, RS-422, RS-485, 3.3 V, 8-Pin SOIC";"1.75mm";"";"EXAR";"SP3485CN-L";"";"701-SP3485CN-L";"https://www.mouser.com/Search/Refine.aspx?Keyword=701-SP3485CN-L";"";"";"";"";
"U11";"LTV-844S";"LTV-844S";"LTV846S";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"4.6mm";"";"Lite-On";"LTV-844S";"";"859-LTV-844S";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTV-844S?qs=pF6wmZEQIu8hE2nMiDPc0g%3D%3D";"";"";"";"";
"U12";"LTV-844S";"LTV-844S";"LTV846S";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"4.6mm";"";"Lite-On";"LTV-844S";"";"859-LTV-844S";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTV-844S?qs=pF6wmZEQIu8hE2nMiDPc0g%3D%3D";"";"";"";"";
"U13";"LTV-844S";"LTV-844S";"LTV846S";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"4.6mm";"";"Lite-On";"LTV-844S";"";"859-LTV-844S";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTV-844S?qs=pF6wmZEQIu8hE2nMiDPc0g%3D%3D";"";"";"";"";
"U14";"LTV-844S";"LTV-844S";"LTV846S";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"";"Lite-On LTV-844S AC Input Transistor Output Quad Optocoupler, Surface Mount, 16-Pin PDIP";"4.6mm";"";"Lite-On";"LTV-844S";"";"859-LTV-844S";"https://www.mouser.co.uk/ProductDetail/Lite-On/LTV-844S?qs=pF6wmZEQIu8hE2nMiDPc0g%3D%3D";"";"";"";"";
"U16";"CPC1966Y";"CPC1966Y";"CPC1966Y";"IXYS 3 A rms SPNO Solid State Relay, Zero Crossing, PCB Mount SCR, 240 V ac Maximum Load";"";"IXYS 3 A rms SPNO Solid State Relay, Zero Crossing, PCB Mount SCR, 240 V ac Maximum Load";"10mm";"";"LITTELFUSE";"CPC1966Y";"";"849-CPC1966Y";"https://www.mouser.co.uk/ProductDetail/IXYS-Integrated-Circuits/CPC1966Y?qs=8uBHJDVwVqxNfAOiNv29Iw%3D%3D";"";"";"";"";
"U17";"CPC1966Y";"CPC1966Y";"CPC1966Y";"IXYS 3 A rms SPNO Solid State Relay, Zero Crossing, PCB Mount SCR, 240 V ac Maximum Load";"";"IXYS 3 A rms SPNO Solid State Relay, Zero Crossing, PCB Mount SCR, 240 V ac Maximum Load";"10mm";"";"LITTELFUSE";"CPC1966Y";"";"849-CPC1966Y";"https://www.mouser.co.uk/ProductDetail/IXYS-Integrated-Circuits/CPC1966Y?qs=8uBHJDVwVqxNfAOiNv29Iw%3D%3D";"";"";"";"";
"UART";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"VCC";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"2";"";"";"";
"X1";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PIN-ROUND-PAD";"JST-XH-04-PACKAGE-ROUND-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X3";"EYE_SPI_DISPLAY_FLIP";"EYE_SPI_DISPLAY_FLIP";"EYE_SPI_DISPLAY_BOTCONTACT";"";"";"";"";"C2856802";"";"";"";"";"";"";"";"";"";
